ROW ID,STATUS,ZONE,ODD_EVEN,ADDRESS RANGE - LOW,ADDRESS RANGE - HIGH,STREET DIRECTION,STREET NAME,STREET TYPE,SECOND STREET DIRECTION,BUFFER,WARD - LOW,WARD - HIGH
11921,ACTIVE,2165,E,60,60,E,36TH,PL,,N,3,3
11908,RESCINDED,143,O,909,909,W,MONTANA,AVE,,N,43,43
11907,RESCINDED,143,E,904,904,W,MONTANA,ST,,N,43,43
11906,ACTIVE,143,O,911,961,W,MONTANA,ST,,N,43,43
11905,ACTIVE,143,E,906,962,W,MONTANA,ST,,N,43,43
11904,ACTIVE,1924,E,2000,2042,S,MAY,ST,,N,25,25
11903,ACTIVE,2168,O,5101,5155,W,MEDILL,AVE,,N,36,36
11902,ACTIVE,2168,E,5100,5154,W,MEDILL,AVE,,N,36,36
11901,ACTIVE,102,E,1914,1920,N,CAMPBELL,AVE,,Y,1,1
11881,ACTIVE,452,E,4526,4598,W,59TH,ST,,N,13,13
11871,ACTIVE,2166,O,6501,6599,N,MAPLEWOOD,AVE,,N,50,50
11870,ACTIVE,2166,E,6500,6598,N,MAPLEWOOD,AVE,,N,50,50
11869,ACTIVE,2091,O,3123,3125,W,WILSON,AVE,,N,33,33
11868,ACTIVE,914,O,1249,1249,W,OHIO,ST,,Y,1,1
11867,ACTIVE,2091,O,3135,3137,W,WILSON,AVE,,N,33,33
11866,ACTIVE,2091,E,3140,3142,W,SUNNYSIDE,AVE,,N,33,33
11865,ACTIVE,2091,E,3114,3116,W,SUNNYSIDE,AVE,,N,33,33
11864,ACTIVE,2167,E,1912,1930,S,SANGAMON,ST,,N,25,25
11863,ACTIVE,1199,E,1322,1322,W,HURON,ST,,Y,1,1
11862,ACTIVE,102,O,2537,2599,W,HOMER,ST,,N,1,1
11861,ACTIVE,102,O,2501,2531,W,HOMER,ST,,N,1,1
11841,ACTIVE,143,O,901,959,W,ALTGELD,ST,,N,43,43
11822,ACTIVE,2163,O,5301,5311,S,ALBANY,AVE,,N,14,14
11821,ACTIVE,2163,E,5300,5310,S,ALBANY,AVE,,N,14,14
11802,ACTIVE,2160,O,3001,3099,N,KILBOURN,AVE,,N,31,31
11801,ACTIVE,2160,E,3000,3098,N,KILBOURN,AVE,,N,31,31
11798,ACTIVE,1677,O,1801,1849,S,PRAIRIE,AVE,,Y,3,3
11797,ACTIVE,168,O,885,885,N,MARSHFIELD,AVE,,Y,1,1
11796,ACTIVE,1446,O,1901,1953,W,BELLE PLAINE,AVE,,Y,47,47
11795,ACTIVE,1446,O,4101,4157,N,WOLCOTT,AVE,,Y,47,47
11794,ACTIVE,1446,E,4100,4156,N,WOLCOTT,AVE,,Y,47,47
11793,ACTIVE,1446,O,4101,4161,N,DAMEN,AVE,,Y,47,47
11792,ACTIVE,1446,E,4100,4160,N,DAMEN,AVE,,Y,47,47
11791,ACTIVE,1446,E,1900,1952,W,BELLE PLAINE,AVE,,Y,47,47
11790,ACTIVE,1498,O,5301,5399,W,NELSON,ST,,N,31,31
11789,ACTIVE,1498,E,5300,5398,W,NELSON,ST,,N,31,31
11788,ACTIVE,2164,E,5300,5358,W,ALTGELD,ST,,N,30,30
11787,ACTIVE,2164,O,5301,5359,W,ALTGELD,ST,,N,30,30
11786,ACTIVE,1595,O,1401,1499,W,15TH,ST,,N,28,28
11785,ACTIVE,2158,E,2600,2698,W,IOWA,ST,,N,26,26
11784,ACTIVE,2158,O,2601,2699,W,IOWA,ST,,N,26,26
11783,ACTIVE,2159,O,5801,5845,S,CHRISTIANA,AVE,,N,23,23
11782,ACTIVE,733,E,4800,4898,N,CENTRAL,AVE,,N,45,45
11781,ACTIVE,2156,O,4701,4799,W,HARRISON,ST,,N,24,24
11762,ACTIVE,383,E,350,350,W,OAKDALE,AVE,,Y,44,44
11761,ACTIVE,2140,O,6491,6543,W,51ST,ST,,N,14,14
11755,ACTIVE,2145,E,5110,5144,N,MONTICELLO,AVE,,N,39,39
11754,ACTIVE,2145,O,5105,5143,N,MONTICELLO,AVE,,N,39,39
11753,ACTIVE,100,O,2715,2761,N,SAWYER,AVE,,N,35,35
11752,ACTIVE,100,E,2714,2760,N,SAWYER,AVE,,N,35,35
11751,ACTIVE,2148,E,2300,2398,N,CAMPBELL,AVE,,N,1,1
11750,ACTIVE,2148,O,2301,2399,N,CAMPBELL,AVE,,N,1,1
11749,ACTIVE,2155,E,2906,2958,N,HAMLIN,AVE,,N,30,30
11748,ACTIVE,2155,O,2907,2959,N,HAMLIN,AVE,,N,30,30
11747,ACTIVE,2151,E,1600,1698,N,MAJOR,AVE,,N,29,29
11746,ACTIVE,2151,O,1601,1699,N,MAJOR,AVE,,N,29,29
11745,ACTIVE,2152,E,1700,1798,W,HASTINGS,ST,,N,28,28
11744,ACTIVE,2150,O,2301,2399,W,OHIO,ST,,N,26,26
11743,ACTIVE,2150,E,2300,2398,W,OHIO,ST,,N,26,26
11742,ACTIVE,2147,O,2601,2699,W,POTOMAC,AVE,,N,26,26
11741,ACTIVE,2147,E,2600,2698,W,POTOMAC,AVE,,N,26,26
11722,ACTIVE,1591,E,4,22,W,37TH,ST,,N,3,3
11721,ACTIVE,1591,O,3,23,W,37TH,PL,,N,,
11705,ACTIVE,2153,O,2631,2659,W,POPE JOHN PAUL II,DR,,N,15,15
11704,ACTIVE,2153,E,2630,2658,W,POPE JOHN PAUL II,DR,,N,15,15
11703,ACTIVE,2154,O,4201,4259,S,RICHMOND,ST,,N,15,15
11702,ACTIVE,2154,E,4218,4258,S,RICHMOND,ST,,N,15,15
11701,ACTIVE,2142,E,2536,2546,E,73RD,ST,,N,7,7
11681,ACTIVE,2143,E,2410,2412,E,100TH,ST,,N,7,7
11661,ACTIVE,783,O,1301,1399,W,GRENSHAW,ST,,N,28,28
11641,ACTIVE,2126,O,5201,5257,S,ROCKWELL,ST,,N,14,14
11635,ACTIVE,2069,O,6301,6359,W,HENDERSON,ST,,N,36,36
11634,ACTIVE,1446,E,1820,1898,W,BELLE PLAINE,AVE,,N,47,47
11633,ACTIVE,1446,O,1821,1899,W,BELLE PLAINE,AVE,,N,47,47
11632,ACTIVE,1446,O,1801,1999,W,WARNER,AVE,,N,47,47
11631,ACTIVE,1446,E,1800,1998,W,WARNER,AVE,,N,47,47
11630,ACTIVE,117,E,5456,5490,N,MASON,AVE,,N,45,45
11629,ACTIVE,117,O,5455,5489,N,MASON,AVE,,N,45,45
11628,ACTIVE,2092,O,441,445,W,23RD,PL,,N,25,25
11627,ACTIVE,2130,E,8500,8598,W,CARMEN,AVE,,N,41,41
11626,ACTIVE,2130,O,8501,8599,W,CARMEN,AVE,,N,41,41
11625,ACTIVE,2069,E,6300,6360,W,HENDERSON,ST,,N,36,36
11624,ACTIVE,1272,E,2100,2198,N,DRAKE,AVE,,N,35,35
11623,ACTIVE,1272,O,2101,2199,N,DRAKE,AVE,,N,35,35
11622,ACTIVE,2139,O,3105,3145,N,CENTRAL PARK,AVE,,N,35,35
11621,ACTIVE,2139,E,3100,3144,N,CENTRAL PARK,AVE,,N,30,30
11620,ACTIVE,2138,E,3000,3076,N,AVERS,AVE,,N,30,30
11619,ACTIVE,2138,O,3001,3075,N,AVERS,AVE,,N,30,30
11618,ACTIVE,2136,O,4801,4899,W,FULTON,ST,,N,28,28
11617,ACTIVE,2136,E,4800,4898,W,FULTON,ST,,N,28,28
11616,ACTIVE,2134,O,3001,3033,W,FIFTH,AVE,,N,28,28
11615,RESCINDED,2137,E,3800,3898,W,WILCOX,ST,,N,28,28
11614,RESCINDED,2137,O,3801,3899,W,WILCOX,ST,,N,28,28
11613,ACTIVE,2127,O,3501,3533,W,MONROE,ST,,N,28,28
11612,ACTIVE,2127,E,3500,3532,W,MONROE,ST,,N,28,28
11611,ACTIVE,2135,E,2200,2298,W,WASHINGTON,BLVD,,N,27,27
11610,ACTIVE,2135,O,2201,2299,W,WASHINGTON,BLVD,,N,27,27
11609,ACTIVE,2128,O,3701,3707,W,THOMAS,ST,,N,27,27
11608,ACTIVE,2133,O,4713,4737,S,DAMEN,AVE,,N,15,15
11607,ACTIVE,2133,O,4739,4759,S,DAMEN,AVE,,N,15,15
11606,ACTIVE,2133,E,4716,4758,S,DAMEN,AVE,,N,15,15
11605,ACTIVE,2132,O,4315,4359,S,CAMPBELL,AVE,,N,15,15
11604,ACTIVE,2132,E,4314,4358,S,CAMPBELL,AVE,,N,15,15
11603,ACTIVE,168,O,1501,1549,W,CHESTNUT,ST,,N,1,1
11602,ACTIVE,168,E,1500,1548,W,CHESTNUT,ST,,N,1,1
11601,ACTIVE,2122,O,1617,1645,W,37TH,ST,,N,12,12
11584,ACTIVE,2123,E,3800,3898,S,ALBANY,AVE,,N,12,12
11583,ACTIVE,2123,O,3801,3899,S,ALBANY,AVE,,N,12,12
11582,ACTIVE,2113,O,5515,5555,S,HOMAN,AVE,,N,14,14
